
========== LOSS FUNCTIONS ==========
PDE losses:
  PDE 1
  PDE 2
BC losses:
BC[1] = Surface Energy
BC[2] = Ice Heat Flux
BC[3] = Ice Gas Flux
====================================

[1] loss = 1.235  (248.1s)
========== LOSS BREAKDOWN ==========
PDE[1] heat eq : scaled=2.3423852878344035e-5   physical≈7.044823245553513 W/m^3
PDE[2] gas eq : scaled=0.0016196019910519129   physical≈4.735215144459433e21 m^-3/s
BC[1] surface : scaled=1.2048136420465334   physical≈0.14339218146315083 W/m^2
BC[2] ice heat : scaled=0.015082071400315134   physical≈178.76044682814594 W/m^2
BC[3] ice gas : scaled=0.015081857969156348   physical≈1.4449838335586847e22 m^-2/s
Total PDE = 0.0016430258439302568
Total BC  = 1.2349775714160047
Grand Total = 1.236620597259935
===============================
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=10.418 K, n=1.1348e21 m^-3
[2] loss = 1.23323  (256.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=10.078 K, n=1.1998e21 m^-3
[3] loss = 1.23389  (258.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=10.347 K, n=1.1447e21 m^-3
[4] loss = 1.23466  (260.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=10.555 K, n=1.1052e21 m^-3
[5] loss = 1.2356  (261.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=10.725 K, n=1.0755e21 m^-3
[6] loss = 1.23811  (263.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=10.9 K, n=1.0523e21 m^-3
[7] loss = 1.23754  (265.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=10.877 K, n=1.0454e21 m^-3
[8] loss = 1.23729  (267.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=10.856 K, n=1.0396e21 m^-3
[9] loss = 1.23707  (270.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=10.838 K, n=1.0345e21 m^-3
[10] loss = 1.23787  (271.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=10.821 K, n=1.0303e21 m^-3
[11] loss = 1.23907  (274.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=10.896 K, n=1.0232e21 m^-3
[12] loss = 1.24138  (275.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=10.964 K, n=1.0173e21 m^-3
[13] loss = 1.2436  (277.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=11.022 K, n=1.0124e21 m^-3
[14] loss = 1.24688  (279.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=11.106 K, n=1.0082e21 m^-3
[15] loss = 1.25013  (282.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=11.182 K, n=1.0048e21 m^-3
[16] loss = 1.25329  (284.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=11.25 K, n=1.0021e21 m^-3
[17] loss = 1.25674  (286.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=11.344 K, n=9.9943e20 m^-3
[18] loss = 1.25859  (288.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=11.43 K, n=9.9763e20 m^-3
[19] loss = 1.25894  (290.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=11.507 K, n=9.9655e20 m^-3
[20] loss = 1.25922  (292.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=11.576 K, n=9.9602e20 m^-3
[21] loss = 1.25947  (294.1s)
========== LOSS BREAKDOWN ==========
PDE[1] heat eq : scaled=2.253879254424278e-5   physical≈6.910448876362088 W/m^3
PDE[2] gas eq : scaled=6.187273933748779e-8   physical≈2.9267473722457526e19 m^-3/s
BC[1] surface : scaled=1.2285740602815152   physical≈0.14479921399319348 W/m^2
BC[2] ice heat : scaled=0.015435281001852744   physical≈180.84154364263858 W/m^2
